"industry","investor","Unicorn_Count"
"E-commerce & direct-to-consumer","daphni",1
"Fintech","daphni",1
"Fintech","das capital",1
"Health","data collective",2
"Cybersecurity","data collective",1
"Internet software & services","data collective",1
"Cybersecurity","datatribe",1
"Internet software & services","davidson kempner capital management",1
"Health","dcm ventures",2
"Mobile & telecommunications","dcm ventures",2
"Artificial intelligence","dcm ventures",1
"E-commerce & direct-to-consumer","dcm ventures",1
"Supply chain, logistics, & delivery","dcm ventures",1
"Fintech","deciens capital",1
"Other","deer park road",1
"Hardware","delian capital",1
"Data management & analytics","dell technologies capital",4
"Artificial intelligence","dell technologies capital",1
"Hardware","delta capital",1
"Internet software & services","dfj dragonfund",1
"Fintech","dfj growth fund",1
"Hardware","dfj growth fund",1
"Auto & transportation","diamler",1
"Auto & transportation","didi chuxing",1
"Fintech","digital currency group",1
"Hardware","digital currency group",1
"Cybersecurity","dila capital",1
"Internet software & services","djf",1
"Fintech","dmg ventures",1
"Edtech","dn capital",1
"Artificial intelligence","doha venture capital",1
"Internet software & services","draft ventures",1
"Fintech","dragoneer investment group",2
"Internet software & services","dragoneer investment group",1
"Data management & analytics","dragonfly capital partners",1
"Hardware","draper esprit",1
"Internet software & services","draper esprit",1
"Mobile & telecommunications","draper fisher jurtson",1
"Other","draper fisher jurvetson",1
"Internet software & services","drive capital",1
"Health","drx capital",1
"Artificial intelligence","dsc investments",1
"Fintech","dst global",8
"E-commerce & direct-to-consumer","dst global",5
"Supply chain, logistics, & delivery","dst global",3
"Artificial intelligence","dst global",1
"Mobile & telecommunications","dst global",1
"Data management & analytics","dt capital partners",1
"Fintech","durable capital partners",1
"Health","durable capital partners",1
"Supply chain, logistics, & delivery","dynamo vc",1
"Fintech","earlybird venture capital",2
"Internet software & services","earlybird venture capital",1
"Travel","east ventures",1
"E-commerce & direct-to-consumer","eastern bell capital",1
"Internet software & services","eastern bell capital",1
"Supply chain, logistics, & delivery","eastern bell capital",1
"Supply chain, logistics, & delivery","eastern bell capital 32",1
"Health","echo health venturesl",1
"Artificial intelligence","eclipse ventures",2
"Cybersecurity","eden global partners",1
"Cybersecurity","edison partners",1
"Artificial intelligence","eight roads ventures",1
"Data management & analytics","eight roads ventures",1
"Fintech","eight roads ventures",1
"Internet software & services","eight roads ventures",1
"E-commerce & direct-to-consumer","elaia partners",1
"Fintech","elaia partners",1
"Mobile & telecommunications","eldridge",1
"Other","eldridge",1
"E-commerce & direct-to-consumer","eleation capital",1
"Fintech","electric capital",1
"Edtech","elevar equity",1
"Internet software & services","elevation capital",2
"E-commerce & direct-to-consumer","elevation capital",1
"Fintech","eleven ventures",1
"Cybersecurity","emerge",1
"Artificial intelligence","emergence capital partners",1
"Fintech","emergence capital partners",1
"Supply chain, logistics, & delivery","emergence capital partners",1
"Internet software & services","enaya capital",1
"Artificial intelligence","endeavor",1
"Fintech","endeavor",1
"Internet software & services","endeavor",1
"Internet software & services","endiya partners",1
"Internet software & services","energize ventures",1
"Cybersecurity","energy impact partners",1
"Fintech","eniac ventures",1
"Mobile & telecommunications","eniac ventures",1
"Fintech","entree capital",1
"Health","epiq capital",1
"Health","eqt partners",1
"Internet software & services","eqt partners",1
"Fintech","equal ventures",1
"Internet software & services","es ventures",1
"Health","escala capital",1
"Hardware","essence financial",1
"E-commerce & direct-to-consumer","eurazeo",2
"Consumer & retail","eurazeo",1
"Fintech","eurazeo",1
"Internet software & services","eurazeo",1
"Internet software & services","european founders fund",1
"Cybersecurity","evolution equity partners",1
"Supply chain, logistics, & delivery","ewtp capital",1
"Other","exor seeds",1
"Fintech","expa",1
"Travel","expedia inc.",1
"Health","f-prime capital",2
"Fintech","f-prime capital",1
"Internet software & services","fabric ventures",1
"Fintech","fairfax financial holdings",1
"E-commerce & direct-to-consumer","falcon edge capital",1
"Internet software & services","falcon edge capital",1
"Other","falcon edge capital",1
"Artificial intelligence","fanuc",1
"Auto & transportation","far east horizon",1
"Fintech","fasanara capital",1
"Other","fashion tech lab",1
"Auto & transportation","faw group",1
"Internet software & services","felicis ventures",2
"Health","felicis ventures",1
"E-commerce & direct-to-consumer","felix capital",2
"Travel","felix capital",1
"Health","female founders fund",1
"Fintech","fidelity investment",1
"Other","fidelity investment",1
"Artificial intelligence","fidelity investments",1
"Other","fidelity investments",1
"Internet software & services","fifth wall ventures",3
"Artificial intelligence","fifth wall ventures",1
"Mobile & telecommunications","fifty years fund",1
"Other","fifty years fund",1
"E-commerce & direct-to-consumer","finsight ventures",1
"Fintech","finvc",1
"E-commerce & direct-to-consumer","fireside ventures",1
"Supply chain, logistics, & delivery","first ascent ventures",1
"E-commerce & direct-to-consumer","first light capital group",1
"Cybersecurity","first round capital",1
"Internet software & services","first round capital",1
"Supply chain, logistics, & delivery","first round capital",1
"Internet software & services","firstmark capital",4
"Artificial intelligence","firstmark capital",2
"Data management & analytics","firstmark capital",1
"Fintech","firstmark capital",1
"Internet software & services","fj labs",1
"Supply chain, logistics, & delivery","fj labs",1
"Other","flagship pioneering",1
"Health","flare capital partners",1
"Cybersecurity","flint capital",2
"Internet software & services","floodgate",1
"Cybersecurity","flybridge capital partners",1
"E-commerce & direct-to-consumer","flybridge capital partners",1
"Supply chain, logistics, & delivery","fontinalis partners",1
"Artificial intelligence","forerunner ventures",1
"Consumer & retail","forerunner ventures",1
"E-commerce & direct-to-consumer","forerunner ventures",1
"Fintech","forerunner ventures",1
"Cybersecurity","formation 8",1
"Internet software & services","formation 8",1
"Mobile & telecommunications","formation 8",1
"Edtech","fosun rz capital",1
"Internet software & services","foundation capital",3
"Fintech","foundation capital",2
"Artificial Intelligence","foundation capital",1
"Cybersecurity","foundation capital",1
"Hardware","foundation capital",1
"Internet software & services","founder collective",1
"E-commerce & direct-to-consumer","founder h fund",1
"Fintech","founders",1
"Fintech","founders fund",3
"Health","founders fund",3
"Internet software & services","founders fund",2
"Supply chain, logistics, & delivery","founders fund",2
